scenario_id,scenario_path,incident_id,case_type,model_support,fixture_scope,expected_outcome,known_actual_causes,expected_primary_causes,expected_amplifiers,expected_not_causal,observed_primary_causes,observed_amplifiers,observed_not_causal,status,expectation_met,classification_match,unexpected_assertion,rationale,boundary_note
api-timeout-amplifier,api-timeout-amplifier/scenario.json,INC-2026-0825-007,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,当前容量方程中恢复连接池可消除基线失败，timeout 依赖延迟是放大因素。,合成容量回放；不包含真实网关 timeout 栈和端到端请求。
cache-warmup-burst,cache-warmup-burst/scenario.json,INC-2026-0825-006,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,恢复连接池可消除基线失败，缓存客户端耗时在当前模型中只构成放大因素。,合成容量回放；不模拟真实缓存命中率、队列和预热调度。
checkout-timeout,checkout-timeout/scenario.json,INC-2026-0816-001,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,在当前确定性容量模型中，恢复连接池可消除主要失败，回退依赖只能部分缓解。,合成容量回放；只验证 pool_size 与 dependency_latency_factor，不证明真实生产根因。
code-latency-regression-primary,code-latency-regression-primary/scenario.json,INC-2026-0821-CODE,golden,supported,pipeline-and-evaluation,diagnose,H-CODE,H-CODE,H-DEPENDENCY;H-POOL,-,H-CODE,H-DEPENDENCY;H-POOL,-,correct,True,True,False,代码延迟因子升至2.4；回滚代码性能因子后故障消失，轻微依赖优化或扩容只能缓解。,模型要求显式提供code_latency_factor，不会从版本字符串猜测性能。
config-drift-before-peak,config-drift-before-peak/scenario.json,INC-2026-0825-002,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,配置漂移后的连接池容量低于需求；恢复容量可消除基线失败，依赖回退只部分缓解。,合成配置容量回放；不等同于真实配置中心漂移检测准确率。
dependency-regression-primary,dependency-regression-primary/scenario.json,INC-2026-0820-DEP,golden,supported,pipeline-and-evaluation,diagnose,H-DEPENDENCY,H-DEPENDENCY,H-POOL,H-CODE,H-DEPENDENCY,H-POOL,H-CODE,correct,True,True,False,连接池保持20，但依赖延迟因子升至2.6；仅恢复依赖性能即可消除故障。,这是确定性依赖延迟模型的Golden Case，不代表真实生产准确率。
downstream-jitter,downstream-jitter/scenario.json,INC-2026-0825-005,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,在当前回放模型中，连接池缩容是主因，下游延迟抖动放大容量压力。,合成延迟因子；不模拟真实时序抖动分布、超时或重试风暴。
code-regression-unmodeled,evaluation-fixtures/code-regression-unmodeled/scenario.json,EVAL-BADCASE-001,badcase,unsupported,evaluation-only-counterfactual,diagnose,H-CODE,H-CODE,-,-,-,-,H-CODE,abstain,False,False,False,夹具 Ground Truth 指定代码回归为真实主因；当前模拟器不使用 code_version，预期会漏诊，作为公开的模型边界而非准确率成功样例。,仅运行反事实分类评测，不进入补丁竞赛、RiskGate 或 PR 流水线；结果不得表述为已支持代码根因诊断。
conflicting-counterfactuals,evaluation-fixtures/conflicting-counterfactuals/scenario.json,EVAL-INSUFFICIENT-001,insufficient-evidence,supported,evaluation-only-counterfactual,abstain,-,-,-,-,-,-,-,abstain,True,True,False,两个假设都映射到同一 pool_size 干预，现有证据无法区分配置中心漂移与自动伸缩器覆盖；安全行为应是拒绝唯一归因。,本夹具验证可辨识性仲裁：两个来源假设映射到相同干预时降级为 indeterminate；未加入来源级证据前不得自动放行补丁。
queue-backlog-unmodeled,evaluation-fixtures/queue-backlog-unmodeled/scenario.json,EVAL-BADCASE-002,badcase,unsupported,evaluation-only-counterfactual,diagnose,H-QUEUE,H-QUEUE,-,-,-,-,H-QUEUE,abstain,False,False,False,夹具 Ground Truth 指定队列积压为真实主因；ServiceState 没有队列深度或消费速率，因此当前评测应如实暴露漏诊。,code_version 仅作为不影响容量方程的评测哨兵；本夹具不声称已实现 RocketMQ 队列根因回放。
payment-client-slowdown,payment-client-slowdown/scenario.json,INC-2026-0825-003,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,当前确定性容量模型中，恢复连接池可消除主要失败，支付客户端延迟是放大因素。,合成容量回放；不包含真实支付客户端重试分布、超时栈和生产流量。
recovery-spike,recovery-spike/scenario.json,INC-2026-0825-004,golden,supported,pipeline-and-evaluation,diagnose,H-POOL,H-POOL,H-DEPENDENCY,H-CODE,H-POOL,H-DEPENDENCY,H-CODE,correct,True,True,False,当前确定性容量模型中，恢复连接池可解释基线故障，库存客户端变慢只放大容量压力。,合成恢复尖峰回放；不模拟真实任务队列、背压、重试或请求到达分布。
